Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_Months,Payment_of_Min_Amount,Total_EMI_per_month,Monthly_Balance,Payment_Behaviour,Credit_Score_Category,Credit_Default
23,28491.51,1882.84,3,5,0,9,5,1,Good,4159.67,22.85,29,Yes,377.91,492.37,Low_spent_Medium_value_payments,Standard,0
32,48769.37,3303.85,1,4,4,1,2,8,Good,10145.09,40.07,140,Yes,202.27,1889.63,High_spent_Medium_value_payments,Standard,0
60,51116.17,3470.16,3,5,2,1,2,4,Standard,14257.7,2.73,231,No,530.81,1211.93,High_spent_Large_value_payments,Good,0
54,40834.76,2744.95,7,1,3,3,1,4,Standard,15416.32,16.77,168,No,454.42,1103.57,Low_spent_Large_value_payments,Standard,0
50,34224.36,2376.33,5,5,2,3,1,6,Standard,8334.93,33.22,233,Yes,316.76,1178.34,Low_spent_Medium_value_payments,Standard,1
25,47173.39,3275.07,4,7,2,2,2,2,Bad,10186.3,28.5,44,Yes,386.79,1905.73,High_spent_Small_value_payments,Poor,1
61,15000.0,994.08,5,8,4,4,6,4,Standard,1810.54,36.04,177,Yes,41.21,476.12,High_spent_Small_value_payments,Poor,1
61,54679.37,3535.39,3,5,1,1,0,6,Good,17258.59,11.91,420,Yes,1656.55,679.77,Low_spent_Small_value_payments,Good,0
22,39171.58,2622.55,3,4,5,1,0,0,Good,8704.14,17.12,31,No,145.84,1472.76,Low_spent_Small_value_payments,Good,0
56,31777.54,2188.33,3,8,3,2,0,4,Standard,10054.28,13.77,177,Yes,228.41,804.72,High_spent_Medium_value_payments,Standard,0
21,124009.98,7448.19,4,2,2,3,2,3,Good,7282.92,7.46,23,No,329.38,3853.2,High_spent_Medium_value_payments,Good,0
23,24222.56,1713.66,4,8,2,5,2,3,Standard,4951.89,3.53,51,No,227.33,745.85,Low_spent_Medium_value_payments,Standard,0
62,28514.11,1767.34,6,4,3,2,2,3,Bad,16022.06,32.41,172,Yes,522.95,470.37,High_spent_Medium_value_payments,Poor,1
49,119962.2,7808.86,6,3,2,3,2,4,Good,52830.48,45.42,237,No,2245.01,1651.08,Low_spent_Small_value_payments,Standard,0
69,22043.28,1530.84,3,6,1,15,4,0,Good,4187.76,14.06,550,Yes,360.03,328.02,High_spent_Small_value_payments,Good,0
47,26106.27,1630.02,1,6,1,1,2,2,Standard,10513.62,23.15,189,No,951.2,50.0,High_spent_Small_value_payments,Standard,0
64,33249.16,2166.69,2,4,2,0,1,5,Good,7786.99,11.88,406,Yes,325.21,823.66,Low_spent_Large_value_payments,Good,0
52,60140.62,3694.82,4,2,7,4,3,3,Standard,18132.98,38.0,283,Yes,190.52,1325.68,High_spent_Medium_value_payments,Standard,0
57,41137.75,2644.33,3,3,2,15,4,3,Bad,9352.27,35.92,255,Yes,438.56,1128.37,Low_spent_Small_value_payments,Poor,1
69,16721.07,1035.35,6,11,3,6,1,4,Good,4440.97,8.92,304,No,129.99,333.51,Low_spent_Small_value_payments,Good,0
33,26388.9,1687.29,3,4,4,1,2,3,Good,6543.39,14.65,121,No,124.48,703.58,Low_spent_Medium_value_payments,Good,0
30,25224.91,1615.55,3,5,1,7,3,4,Good,7854.31,23.59,88,No,776.98,107.57,Low_spent_Large_value_payments,Standard,1
67,34671.29,2453.32,6,5,0,1,2,6,Standard,8214.04,25.49,314,Yes,774.67,777.99,High_spent_Small_value_payments,Standard,0
59,46887.49,3318.56,8,2,2,1,0,2,Standard,26312.09,29.35,139,Yes,1029.58,402.45,High_spent_Small_value_payments,Poor,1
47,46673.11,2858.43,5,5,3,1,1,2,Standard,2962.2,12.26,258,Yes,66.33,1594.45,Low_spent_Small_value_payments,Good,0
36,15000.0,1017.97,6,6,4,4,4,3,Good,9096.02,4.97,164,Yes,224.28,233.71,High_spent_Large_value_payments,Standard,0
34,68759.12,4164.09,4,8,0,0,4,4,Standard,14024.26,0.66,83,Yes,984.18,1441.04,Low_spent_Large_value_payments,Standard,1
36,42257.68,2549.28,6,7,0,0,0,3,Standard,9186.31,15.6,90,Yes,713.39,605.99,Low_spent_Small_value_payments,Standard,0
45,83342.94,5095.68,3,2,1,6,2,5,Bad,29217.43,17.62,170,Yes,2127.32,948.49,Low_spent_Small_value_payments,Poor,1
43,47406.71,3340.25,7,4,3,0,3,4,Good,21028.1,25.75,133,Yes,676.44,953.34,Low_spent_Small_value_payments,Standard,0
54,70318.75,4935.86,3,3,4,6,1,2,Bad,44378.46,70.83,320,No,863.45,2215.83,Low_spent_Medium_value_payments,Poor,1
43,48046.63,2983.74,2,3,3,1,3,2,Standard,13937.75,26.91,261,Yes,352.15,1695.73,High_spent_Medium_value_payments,Standard,1
40,81449.25,5029.61,2,4,3,7,3,5,Bad,37763.2,6.75,70,Yes,1029.25,2076.02,High_spent_Medium_value_payments,Poor,0
26,49679.64,3110.23,9,9,1,4,2,2,Good,14151.59,10.58,28,No,1412.7,223.9,Low_spent_Small_value_payments,Good,0
29,34243.46,2245.86,6,3,2,7,2,2,Good,8724.69,30.15,61,No,366.68,1112.72,Low_spent_Medium_value_payments,Standard,1
18,141982.75,9395.25,5,5,3,3,1,1,Bad,41041.21,22.79,6,Yes,925.71,5474.25,Low_spent_Large_value_payments,Standard,1
18,61909.09,3863.16,2,3,2,9,2,3,Standard,10329.22,43.22,6,No,452.47,1910.99,Low_spent_Large_value_payments,Poor,1
64,51238.51,3494.3,7,2,1,1,1,6,Standard,19149.79,6.31,457,No,1626.75,694.22,High_spent_Small_value_payments,Good,0
51,16885.61,1069.76,2,6,0,1,3,2,Standard,6847.22,17.4,283,No,474.18,50.0,Low_spent_Small_value_payments,Good,0
49,16764.44,1173.34,6,8,2,0,0,4,Standard,2368.46,28.51,302,No,112.42,392.64,Low_spent_Large_value_payments,Good,0
65,43287.94,2905.25,3,4,1,1,0,2,Standard,7607.12,55.2,251,Yes,529.45,1125.68,Low_spent_Medium_value_payments,Standard,1
42,39628.85,2565.06,7,6,3,2,2,4,Good,12723.28,49.09,235,No,291.41,1487.27,Low_spent_Small_value_payments,Good,0
57,25122.68,1722.35,4,4,0,8,2,3,Good,3504.15,30.38,393,No,320.2,480.44,Low_spent_Large_value_payments,Good,0
62,39521.09,2721.45,7,5,1,0,0,4,Bad,12903.19,44.46,444,No,1066.25,334.34,High_spent_Medium_value_payments,Standard,1
18,94200.07,5948.44,4,3,1,3,2,3,Standard,22913.53,35.22,6,No,1569.44,2249.76,High_spent_Medium_value_payments,Poor,0
33,55118.54,3509.96,7,6,2,1,2,4,Good,19595.67,20.71,95,Yes,829.25,655.54,High_spent_Medium_value_payments,Standard,0
56,18313.52,1284.5,6,2,3,4,4,5,Standard,4922.99,49.2,317,Yes,130.91,630.92,High_spent_Small_value_payments,Poor,1
22,33965.3,2098.54,2,5,1,38,10,0,Good,10156.11,46.88,35,No,926.68,214.29,Low_spent_Large_value_payments,Poor,1
39,22404.57,1354.5,4,7,2,8,3,3,Standard,8252.73,21.99,89,Yes,281.24,640.19,High_spent_Small_value_payments,Poor,1
46,28778.39,1868.26,4,3,2,1,2,2,Standard,1969.28,43.25,208,No,77.22,929.95,High_spent_Large_value_payments,Standard,0
20,28334.36,1946.0,3,6,4,13,5,2,Good,7108.57,12.83,12,Yes,147.43,873.91,High_spent_Small_value_payments,Poor,1
29,27266.46,1863.93,5,3,1,2,3,0,Bad,2466.42,35.03,88,Yes,209.86,942.06,High_spent_Medium_value_payments,Poor,1
43,17101.45,1196.44,3,2,1,5,2,4,Good,5077.57,32.31,215,Yes,457.94,120.49,Low_spent_Large_value_payments,Standard,1
33,33637.85,2212.57,5,6,6,14,4,9,Standard,3729.63,12.81,93,Yes,49.15,1065.0,High_spent_Large_value_payments,Poor,1
68,25942.44,1584.67,5,5,2,9,4,2,Standard,10126.65,33.68,134,No,374.24,553.95,Low_spent_Large_value_payments,Poor,0
54,15000.0,995.66,1,6,3,3,1,2,Bad,3530.49,7.58,273,Yes,94.83,471.71,Low_spent_Medium_value_payments,Standard,1
39,124465.42,8517.49,5,7,2,0,1,2,Standard,10171.11,26.61,225,No,386.89,4348.53,High_spent_Large_value_payments,Good,0
46,69791.1,4258.03,3,5,4,3,1,4,Bad,5517.3,33.55,255,Yes,124.73,2706.47,High_spent_Small_value_payments,Standard,0
31,28975.9,1792.75,4,4,3,5,3,4,Bad,3622.07,17.55,55,Yes,82.42,787.37,High_spent_Large_value_payments,Poor,1
45,36727.88,2208.56,4,3,1,1,2,2,Standard,8388.47,26.07,223,No,823.31,684.51,Low_spent_Small_value_payments,Standard,0
22,17979.86,1194.42,3,5,4,0,3,4,Standard,6295.3,6.42,23,No,151.34,550.53,High_spent_Large_value_payments,Standard,1
64,100451.84,6992.08,1,10,2,16,6,4,Standard,49896.9,22.44,227,Yes,1932.55,2093.17,High_spent_Small_value_payments,Poor,1
66,113365.59,7625.6,2,9,3,8,3,4,Standard,27379.78,55.41,282,No,640.45,4016.81,High_spent_Medium_value_payments,Standard,0
47,39895.4,2818.16,6,8,1,4,5,1,Good,2970.39,24.71,232,Yes,263.21,1590.86,Low_spent_Small_value_payments,Good,0
63,67112.02,4072.55,5,4,3,4,1,4,Standard,23956.75,36.18,375,Yes,785.17,1110.42,Low_spent_Large_value_payments,Standard,0
69,40342.96,2815.23,3,2,4,7,1,1,Good,6029.0,20.79,151,Yes,147.19,1333.72,High_spent_Small_value_payments,Good,1
22,16284.43,1120.68,2,6,3,6,1,3,Standard,4889.47,37.05,34,Yes,113.78,643.32,High_spent_Medium_value_payments,Poor,1
29,28364.85,1798.45,2,5,2,0,1,3,Good,11917.14,47.96,107,Yes,481.4,252.87,Low_spent_Small_value_payments,Standard,1
33,39306.96,2772.97,4,5,3,1,2,2,Standard,17247.93,35.81,123,Yes,496.8,1015.72,Low_spent_Small_value_payments,Poor,1
43,27646.97,1745.06,4,4,0,5,1,5,Good,1662.41,30.23,141,Yes,156.91,614.79,High_spent_Large_value_payments,Standard,1
43,31850.49,2217.88,4,7,2,7,3,3,Standard,3882.32,22.92,238,Yes,159.72,1214.6,High_spent_Large_value_payments,Standard,0
65,34377.59,2390.67,6,6,1,0,0,2,Standard,13718.9,44.56,296,No,1130.85,50.0,High_spent_Large_value_payments,Standard,1
38,34595.29,2359.67,5,3,1,6,1,5,Bad,10542.48,29.46,153,No,904.22,214.17,Low_spent_Medium_value_payments,Poor,1
56,37472.22,2477.07,4,3,2,0,1,1,Good,14807.84,42.73,149,No,728.78,848.23,High_spent_Small_value_payments,Good,0
53,19218.66,1178.1,1,3,3,1,2,2,Good,3925.23,16.33,88,Yes,99.07,698.52,Low_spent_Large_value_payments,Good,0
50,23618.61,1553.23,8,7,4,15,4,3,Good,2760.01,18.97,246,No,60.86,1002.1,High_spent_Small_value_payments,Good,0
47,16801.94,1073.06,4,6,5,2,1,3,Standard,2490.49,7.01,114,Yes,49.2,511.26,High_spent_Small_value_payments,Standard,1
54,65296.21,4478.17,5,3,1,3,0,1,Bad,33441.03,37.94,101,No,2734.65,367.38,Low_spent_Medium_value_payments,Poor,1
40,15000.0,1023.2,5,4,1,6,3,4,Good,4102.49,24.87,87,Yes,317.79,240.21,Low_spent_Small_value_payments,Standard,0
27,72558.92,5069.33,5,4,5,4,2,3,Good,31402.54,30.87,77,Yes,479.77,2989.77,High_spent_Small_value_payments,Standard,1
22,83433.87,5019.44,2,4,7,1,2,4,Good,22478.34,59.97,18,No,283.97,2813.4,High_spent_Medium_value_payments,Standard,0
53,30293.6,2083.15,5,4,2,4,2,4,Good,14757.95,6.29,266,Yes,607.53,245.52,Low_spent_Medium_value_payments,Good,0
51,15000.0,1052.5,4,6,2,3,1,4,Standard,6008.71,33.35,271,Yes,284.64,238.62,Low_spent_Medium_value_payments,Standard,0
69,29237.68,2004.27,5,4,4,0,1,4,Standard,9255.27,56.29,216,No,174.06,938.76,High_spent_Medium_value_payments,Standard,1
48,34943.56,2145.9,3,5,3,6,1,4,Good,2890.66,47.74,226,No,96.3,1392.61,High_spent_Large_value_payments,Good,0
27,19804.04,1205.68,6,6,0,4,1,3,Good,4913.89,7.73,42,No,473.94,239.07,Low_spent_Medium_value_payments,Good,0
36,26658.65,1605.54,4,7,2,0,1,4,Standard,4815.69,21.56,147,Yes,189.55,891.79,Low_spent_Medium_value_payments,Standard,0
49,90954.72,6076.81,2,8,1,0,0,0,Good,30525.34,29.06,135,Yes,2908.07,50.0,Low_spent_Large_value_payments,Standard,0
18,54119.85,3616.37,5,7,2,0,1,1,Good,13461.32,30.41,6,Yes,672.88,1265.93,Low_spent_Medium_value_payments,Standard,1
22,20853.18,1474.14,7,9,0,0,2,4,Good,7137.34,31.45,18,Yes,712.7,108.07,High_spent_Medium_value_payments,Poor,1
62,15000.0,964.68,2,6,2,1,0,4,Good,1762.93,17.18,473,Yes,68.04,321.94,High_spent_Medium_value_payments,Good,0
21,29845.51,1898.04,4,5,3,4,2,3,Bad,8742.24,13.76,23,Yes,244.62,674.06,Low_spent_Large_value_payments,Poor,1
33,31949.95,2133.13,3,6,2,0,2,2,Good,8175.34,9.12,50,No,341.73,642.44,High_spent_Medium_value_payments,Good,1
41,48909.14,3372.0,7,3,4,1,1,3,Standard,22576.6,21.26,238,No,507.41,1126.07,High_spent_Small_value_payments,Good,0
33,26339.1,1847.65,2,9,3,12,4,1,Good,5786.15,53.05,122,No,133.28,814.56,High_spent_Medium_value_payments,Poor,1
19,49360.2,3391.07,5,5,3,4,2,2,Standard,14486.47,26.29,7,Yes,454.21,1194.98,High_spent_Small_value_payments,Poor,1
66,115970.65,7494.29,3,5,1,4,2,4,Good,50190.6,32.4,247,Yes,3671.43,1559.56,High_spent_Small_value_payments,Standard,0
45,59236.94,3961.66,6,3,1,1,3,1,Good,3017.19,6.27,161,Yes,247.69,1387.27,Low_spent_Small_value_payments,Good,0
49,35282.66,2444.26,3,8,1,3,0,5,Standard,9975.2,44.91,244,Yes,863.41,589.29,High_spent_Large_value_payments,Poor,0
44,32536.24,2125.1,2,8,0,1,1,1,Bad,6545.32,31.93,108,No,539.91,360.96,Low_spent_Large_value_payments,Poor,1
37,29319.15,1827.97,3,4,4,3,0,1,Good,4616.3,26.67,116,Yes,79.62,1078.42,Low_spent_Small_value_payments,Good,0
41,73746.19,4560.37,6,4,7,7,5,6,Good,27895.9,9.86,183,Yes,314.84,2760.23,Low_spent_Large_value_payments,Standard,0
29,24924.63,1495.52,3,4,2,4,2,1,Standard,15538.39,20.59,75,Yes,633.3,50.0,High_spent_Small_value_payments,Poor,1
67,37314.36,2529.2,3,5,3,1,1,3,Standard,9607.22,38.77,486,Yes,265.77,896.47,Low_spent_Medium_value_payments,Good,0
52,37448.38,2291.97,4,3,2,6,3,5,Standard,11775.67,12.66,163,No,583.98,530.37,Low_spent_Small_value_payments,Standard,1
50,26874.4,1683.46,5,3,2,2,3,5,Bad,13322.9,30.13,323,Yes,537.72,414.94,Low_spent_Medium_value_payments,Poor,1
50,15938.94,1007.77,3,1,2,1,0,5,Standard,3023.34,52.99,262,Yes,131.57,467.82,Low_spent_Small_value_payments,Poor,1
68,44081.03,2912.47,5,5,3,2,3,3,Standard,4842.79,17.7,263,Yes,113.89,1080.85,High_spent_Medium_value_payments,Good,0
60,35010.3,2251.55,5,6,0,3,2,2,Good,17850.58,10.01,152,Yes,1323.68,138.92,High_spent_Large_value_payments,Standard,1
54,49027.87,3300.02,4,6,2,6,2,3,Bad,11216.92,7.63,175,No,385.77,1310.55,Low_spent_Small_value_payments,Standard,1
29,26366.24,1597.87,8,5,2,21,8,1,Standard,7357.14,31.38,47,Yes,303.56,503.22,High_spent_Medium_value_payments,Poor,1
20,75545.68,4634.17,1,5,3,20,5,4,Good,31835.94,47.17,20,No,885.0,2270.69,Low_spent_Large_value_payments,Poor,1
18,21459.78,1403.64,5,7,1,6,5,4,Standard,2815.7,7.89,6,Yes,274.21,596.37,High_spent_Medium_value_payments,Poor,1
50,101440.14,6456.71,6,5,4,0,0,2,Good,14685.92,20.88,257,No,328.85,3874.9,Low_spent_Small_value_payments,Good,0
57,15000.0,948.07,4,7,2,4,4,3,Good,4480.84,42.22,115,No,166.0,482.26,High_spent_Small_value_payments,Standard,0
27,47139.29,2862.59,1,8,0,1,4,1,Standard,5654.59,55.2,93,No,389.47,1108.28,High_spent_Large_value_payments,Poor,0
60,48303.46,3366.93,6,6,2,2,1,2,Good,20416.78,15.29,413,Yes,719.37,1025.36,High_spent_Medium_value_payments,Good,0
61,22531.41,1520.75,5,3,1,3,1,5,Good,5644.33,54.18,284,No,388.0,594.36,Low_spent_Small_value_payments,Standard,0
46,46846.72,2872.53,2,4,1,1,1,7,Good,7008.88,10.56,290,No,692.81,746.32,High_spent_Medium_value_payments,Good,0
30,78253.69,4750.36,1,9,0,7,3,4,Standard,33234.6,20.06,81,Yes,2997.73,50.0,Low_spent_Large_value_payments,Poor,1
29,15000.0,1058.42,4,3,0,0,1,2,Good,5657.42,3.8,105,Yes,391.84,55.95,High_spent_Small_value_payments,Good,1
48,49101.6,3308.43,5,6,9,2,2,4,Standard,16051.19,13.43,230,Yes,128.3,1815.66,Low_spent_Medium_value_payments,Standard,0
63,15000.0,967.84,5,6,0,6,3,2,Standard,2529.21,33.13,222,Yes,228.69,408.99,High_spent_Large_value_payments,Poor,1
19,20345.22,1375.38,2,2,0,20,5,3,Bad,6668.35,39.31,8,Yes,494.99,142.6,Low_spent_Medium_value_payments,Poor,1
68,96519.45,6582.01,3,4,1,4,2,3,Bad,35863.99,19.86,248,No,3043.41,490.43,High_spent_Large_value_payments,Poor,0
67,25614.93,1753.33,2,7,2,9,4,2,Standard,2285.86,25.09,248,Yes,81.91,682.92,High_spent_Small_value_payments,Standard,0
52,17955.86,1170.31,2,6,2,3,2,3,Standard,4883.0,18.22,302,No,234.68,357.53,Low_spent_Large_value_payments,Good,0
40,32248.84,2085.12,1,6,1,37,10,4,Standard,4516.38,18.86,158,No,384.98,493.16,Low_spent_Small_value_payments,Poor,1
34,125585.72,7550.15,5,3,5,10,4,2,Standard,24726.47,23.34,115,No,379.5,3415.98,High_spent_Small_value_payments,Good,1
43,15000.0,1050.57,4,3,3,5,3,5,Good,6829.86,30.64,151,Yes,220.69,201.81,High_spent_Large_value_payments,Standard,1
25,19326.14,1285.88,2,7,1,3,1,5,Standard,4332.28,43.04,32,Yes,364.45,347.03,Low_spent_Medium_value_payments,Poor,1
46,89184.19,5547.33,6,3,2,13,4,3,Standard,25884.49,11.74,225,No,1097.45,1163.05,Low_spent_Large_value_payments,Standard,1
43,110704.68,7745.16,6,6,2,5,1,6,Standard,56724.54,11.83,267,Yes,2265.72,2845.27,Low_spent_Medium_value_payments,Standard,0
27,34130.31,2386.11,4,4,4,11,2,4,Good,18325.23,57.31,34,Yes,324.52,1023.66,High_spent_Large_value_payments,Poor,1
43,17267.28,1221.08,8,3,4,3,4,4,Standard,5203.03,27.18,88,No,96.17,724.65,Low_spent_Small_value_payments,Poor,0
51,127708.56,8871.78,2,5,4,2,3,4,Good,61423.76,63.53,178,Yes,1266.15,4355.08,Low_spent_Medium_value_payments,Poor,1
68,94529.33,6693.56,4,5,1,18,7,1,Standard,38787.87,17.9,394,No,3504.94,1053.6,Low_spent_Small_value_payments,Poor,1
58,54577.02,3419.29,6,4,2,9,3,2,Standard,30222.43,39.75,349,Yes,1110.46,395.41,High_spent_Small_value_payments,Poor,1
24,22304.83,1541.81,3,4,0,3,1,3,Bad,6812.06,29.35,38,Yes,489.45,135.23,High_spent_Large_value_payments,Poor,1
21,35262.75,2430.17,3,6,0,11,5,6,Good,5539.29,24.7,7,No,465.37,734.66,Low_spent_Large_value_payments,Poor,1
67,32984.2,2061.57,3,7,2,0,1,6,Standard,2405.44,24.29,269,Yes,85.33,1199.08,Low_spent_Large_value_payments,Standard,1
62,44289.85,2704.62,6,5,0,2,2,6,Standard,8162.53,2.12,437,Yes,662.97,700.61,Low_spent_Medium_value_payments,Good,0
28,86733.97,6124.32,3,6,1,1,2,4,Standard,11117.62,42.52,61,No,948.41,1780.72,Low_spent_Medium_value_payments,Standard,1
46,61552.78,3890.56,2,4,1,10,3,3,Standard,32702.67,35.68,86,Yes,2712.82,50.0,High_spent_Small_value_payments,Poor,1
53,19026.24,1321.08,4,4,0,3,0,5,Standard,3099.74,75.69,126,No,299.72,603.22,High_spent_Small_value_payments,Poor,1
42,82942.08,4980.23,4,5,3,3,1,5,Standard,18694.41,18.84,179,Yes,429.14,1768.66,Low_spent_Medium_value_payments,Standard,0
38,43821.48,2639.27,2,5,2,0,3,3,Standard,13155.32,53.74,117,Yes,636.43,1192.72,Low_spent_Large_value_payments,Poor,1
53,54843.53,3567.4,6,4,4,4,3,3,Bad,11352.58,46.66,89,No,248.4,1669.89,Low_spent_Large_value_payments,Poor,1
27,87546.43,5479.19,3,6,2,3,1,0,Good,57212.91,30.15,84,Yes,2056.1,838.68,Low_spent_Medium_value_payments,Poor,0
54,18639.75,1257.69,5,5,2,0,0,1,Standard,4772.73,23.65,239,No,167.36,692.85,Low_spent_Small_value_payments,Good,0
26,35543.22,2350.36,6,3,4,8,3,3,Good,6041.03,20.76,71,No,142.54,1190.21,Low_spent_Medium_value_payments,Good,1
41,26400.21,1606.17,5,6,4,4,3,0,Good,3036.13,10.72,215,Yes,51.25,667.19,High_spent_Large_value_payments,Good,0
52,15000.0,926.43,6,6,2,14,7,2,Standard,2915.06,23.74,129,Yes,125.34,284.91,High_spent_Large_value_payments,Poor,1
66,44713.29,2870.77,5,4,2,3,1,4,Good,12214.54,20.49,471,Yes,585.84,1075.83,Low_spent_Small_value_payments,Good,0
52,163887.24,10162.76,5,4,4,4,3,2,Good,54927.68,5.95,184,Yes,1341.69,4977.29,Low_spent_Small_value_payments,Good,0
65,15000.0,1028.74,3,3,1,2,1,2,Standard,906.16,24.35,185,Yes,79.09,539.41,High_spent_Small_value_payments,Standard,0
53,35618.9,2297.68,7,3,4,3,0,2,Good,9838.92,42.07,194,Yes,243.08,1342.99,Low_spent_Large_value_payments,Standard,0
35,53333.81,3254.01,1,7,3,2,3,4,Good,2920.69,21.56,179,Yes,86.31,2088.63,High_spent_Small_value_payments,Good,0
66,39098.79,2551.08,2,4,4,0,1,2,Bad,8211.2,50.17,483,Yes,200.95,1516.58,Low_spent_Large_value_payments,Standard,1
56,33932.32,2069.33,1,7,2,0,4,2,Bad,8854.71,10.11,394,Yes,421.45,833.1,High_spent_Large_value_payments,Standard,0
49,16655.07,1022.57,3,6,1,2,3,3,Standard,3750.56,68.44,75,Yes,254.96,252.39,Low_spent_Large_value_payments,Poor,1
41,41759.07,2613.94,2,5,2,0,2,3,Standard,11424.13,21.35,99,No,457.98,713.46,Low_spent_Large_value_payments,Standard,1
40,23062.0,1598.46,3,7,2,1,1,3,Good,2611.2,21.32,187,Yes,104.56,912.21,High_spent_Large_value_payments,Good,0
49,15000.0,1050.25,9,6,0,0,1,4,Standard,1922.53,27.04,281,No,149.03,349.56,High_spent_Small_value_payments,Good,0
54,74366.09,5127.63,6,4,2,6,3,4,Good,10065.63,41.59,243,No,503.09,1944.57,Low_spent_Small_value_payments,Good,0
29,64539.42,4105.94,3,4,0,3,3,2,Good,4232.62,9.34,56,Yes,303.05,1779.35,Low_spent_Medium_value_payments,Good,0
66,37458.79,2358.09,2,5,3,0,2,2,Standard,8391.4,8.97,253,Yes,208.91,1293.7,High_spent_Medium_value_payments,Good,0
30,41666.17,2747.85,3,3,4,1,2,2,Good,5971.17,9.57,82,No,104.27,1022.65,High_spent_Medium_value_payments,Good,0
40,69188.56,4692.37,6,2,4,0,2,4,Good,17843.11,15.9,53,Yes,382.44,2368.2,High_spent_Large_value_payments,Good,0
42,41547.96,2940.0,6,5,1,1,2,2,Good,1250.17,42.8,196,No,118.13,1708.86,High_spent_Medium_value_payments,Good,0
52,62468.05,3837.12,3,8,1,5,2,2,Standard,10241.87,27.23,245,Yes,759.15,1275.72,High_spent_Medium_value_payments,Standard,1
58,30379.12,1838.97,5,6,0,7,1,5,Good,8852.45,10.73,267,No,756.54,507.93,Low_spent_Small_value_payments,Good,0
47,79792.93,5387.79,2,3,1,8,3,5,Standard,25616.76,38.93,117,No,1874.94,1848.91,High_spent_Medium_value_payments,Poor,1
34,44023.17,3038.29,2,6,3,0,1,2,Bad,25436.97,28.02,61,No,582.93,1475.23,High_spent_Large_value_payments,Poor,1
66,40799.75,2822.07,2,5,4,5,2,3,Good,12065.88,32.72,157,No,213.26,1370.89,Low_spent_Small_value_payments,Good,0
37,16948.99,1141.51,6,4,4,0,2,2,Standard,7667.24,5.83,191,Yes,154.72,586.44,Low_spent_Small_value_payments,Standard,0
65,43138.6,3034.16,3,7,1,16,6,5,Standard,13772.84,19.16,455,Yes,1012.7,434.21,High_spent_Medium_value_payments,Poor,1
42,22044.69,1444.72,5,4,0,2,2,5,Bad,8714.93,59.6,174,No,607.3,50.0,Low_spent_Large_value_payments,Poor,1
39,24761.13,1730.79,5,5,2,0,3,7,Bad,12881.62,38.84,98,Yes,517.99,204.09,Low_spent_Large_value_payments,Poor,1
30,22265.08,1569.35,6,5,1,0,2,4,Standard,2829.3,12.34,105,No,251.17,839.93,Low_spent_Medium_value_payments,Standard,0
36,19153.85,1325.02,5,5,3,9,4,5,Standard,6313.16,49.86,65,No,180.54,666.46,Low_spent_Small_value_payments,Poor,0
66,129944.52,8232.73,4,6,2,2,2,4,Good,59878.99,46.3,442,Yes,2506.69,2366.95,High_spent_Small_value_payments,Standard,0
53,80724.99,5015.09,4,2,4,0,1,3,Standard,34614.8,36.5,323,Yes,710.93,1820.32,Low_spent_Medium_value_payments,Standard,0
29,114946.32,7579.33,4,4,3,4,3,5,Standard,36104.71,56.44,52,No,1004.9,2311.23,High_spent_Large_value_payments,Poor,1
58,17435.49,1131.7,6,5,2,17,4,2,Good,7368.8,11.38,260,Yes,353.35,111.55,High_spent_Large_value_payments,Standard,0
36,37901.74,2634.51,5,5,1,0,1,5,Good,6783.89,40.97,135,No,459.28,1281.08,Low_spent_Small_value_payments,Good,0
29,16712.22,1020.84,4,6,0,6,3,1,Bad,1944.33,47.23,45,Yes,159.89,504.02,Low_spent_Medium_value_payments,Poor,1
26,23922.7,1502.16,3,5,1,4,3,7,Good,7024.41,30.62,41,No,673.61,375.32,Low_spent_Medium_value_payments,Poor,1
24,20933.87,1426.53,5,6,6,0,3,4,Good,6223.4,3.24,44,No,87.2,558.24,Low_spent_Small_value_payments,Good,0
45,76400.95,4662.68,6,6,1,3,0,2,Good,31313.58,38.89,189,No,2320.27,50.0,High_spent_Large_value_payments,Standard,0
31,28631.48,1817.38,2,4,1,0,3,1,Good,3902.49,47.14,79,No,290.84,467.37,Low_spent_Large_value_payments,Standard,0
48,68942.47,4425.71,6,7,1,8,2,2,Standard,25245.94,11.2,129,Yes,2219.42,530.0,High_spent_Small_value_payments,Poor,0
69,52180.94,3482.8,6,2,1,1,1,1,Standard,9259.49,21.43,352,Yes,861.63,1011.77,Low_spent_Medium_value_payments,Good,0
36,144666.05,8927.79,3,7,1,1,3,2,Standard,45405.47,41.21,99,Yes,4319.0,394.17,Low_spent_Medium_value_payments,Poor,1
64,15000.0,1039.85,3,3,0,2,2,2,Bad,5469.76,30.32,190,Yes,457.21,50.0,High_spent_Large_value_payments,Poor,1
33,77307.01,5013.23,3,3,2,7,3,2,Bad,20310.84,42.84,74,Yes,955.61,1787.21,Low_spent_Small_value_payments,Poor,1
22,72248.33,5052.64,3,8,2,1,5,4,Standard,14003.86,40.47,17,Yes,526.06,2361.39,High_spent_Medium_value_payments,Poor,0
